Sentences,Label
"Yay !! Oh yes, aren&#39;t you, you are no longer mad at us?",joy
You were absolutely right!,joy
This is so much better than the first time.,joy
We have so much in common!,joy
I didn&#39;t get any sleep last night!,anger
My grandmother has this new boyfriend and they are both insecure in bed.,disgust
You have no idea how loud they are!,disgust
Many Thanks.,joy
Ew! What&#39;s this? Something exploded!,disgust
Pa-haa !! I would like to go with you.,joy
OK. Honey i would love if you go with me What?,joy
"What should I wear, now I&#39;m all nervous.",fear
": I know we did it !! Hey, that was amazing, wasn&#39;t it ?!",joy
"I know it was amazing! I mean we totally nailed it, it was beautiful.",joy
": Thank you, listen, thank you very much Tribbiani,. Oh my god, watch the time, I have to take the bus to the ball.",joy
Yes!! I knew it!! Bye! As long as! Later!,joy
Oh that&#39;s great! I could actually play Ben&#39;s father!,joy
And!,joy
"Okay, all right, all right, all right! OK! Okay, here is something, here is something blue and new.",joy
"And it&#39;s all because of you, wonderful, amazing you.",joy
I think you have a concussion.,fear
"No, no, I&#39;m serious. Many Thanks.",joy
You&#39;re welcome. I&#39;m so sorry. Did I hurt you?,fear
David will make a suggestion to Phoebe.,joy
"Chandler, we talked about it.",anger
You shouldn&#39;t give advice to people!,anger
They&#39;ve only been going out a few weeks and Phoebe is totally hooked on Mike!,anger
"Nice to meet you, Paul.",joy
"So Ross, what&#39;s your problem?",anger
Why can&#39;t you have a girlfriend your age?,anger
This is funny. Umm…. It&#39;s not funny.,fear
"Um, but I think if you give me, um, a chance I can, I can change your mind.",fear
OK. I&#39;ll give you a chance to change my mind You have a minute.,anger
You have to tell her!,joy
You have to tell her!,joy
She will hate me,fear
It&#39;s the big night! We wanted to wish you the best of luck!,joy
You are beautiful.,joy
Oh thank you! What&#39;s happening?,joy
Yes! That&#39;s funny!,joy
Hello lady! I don&#39;t care how much you want it! OK?! I am,disgust
I did it!,joy
I rode a bike!,joy
I never thought I could do it!,joy
Thank you Ross.,joy
"Oh hey, don&#39;t thank me, thank you. You are the one who faced their fears and ultimately overcome them.",joy
Phoebe! Hi there!,joy
"Wow, you look amazing.",joy
"Well, after eight years of research, I&#39;ve found that it can&#39;t.",sadness
Nice to have you back! How are you?,joy
Well!,joy
Mike and I broke up.,sadness
"It means we can keep trying, but there is a good chance this will never happen for us.",sadness
I&#39;m so sorry.,sadness
"I am sorry, too.",sadness
Impressive! That looks good!,joy
Yes they think they can bill me for a dirty movie and bag of mashuga nuts.,anger
Why don&#39;t you tell me what to be,anger
Because I can&#39;t fucking find out!,anger
"Delicious! I&#39;m really starting to feel that you have a story, it&#39;s - it&#39;s beautiful.",joy
That&#39;s not in the script.,anger
Yes! Ask them if they brought souvenirs for their friends!,joy
"Hey, hang up! You will get food poisoning for just speaking to this place.",disgust
Well! I will have a sandwich!,joy
"Must go. I miss you too, I love you, but it&#39;s getting very late now",sadness
You are one who talks.,disgust
Yes !!,joy
We are tooth people Zack!,joy
"Dude, I&#39;m sorry for what I said!",sadness
Because we won our apartment back!,joy
Ja Baby!,joy
But we&#39;re voting again! We&#39;ll get back!,joy
"Tickets, please! This is court baby!",joy
Oh yeah. He has that great baby smell. Get a touch of his head.,joy
"Joey, that&#39;s so cute.",joy
I couldn&#39;t do it,sadness
"Tomorrow! Hey, how is my favorite genius and little robot buddy ?!",joy
Do not touch him!,anger
I keep hearing all these rumors that I might get fired.,fear
Stupid!,anger
Good!,anger
For what? &#39;Cause you got me kicked out of your office,anger
You didn&#39;t have any,anger
"Yes, sorry for wanting to be with my girlfriend on our anniversary boy what an ass I am.",anger
But I told you I didn&#39;t have time!,anger
"Yes, you never have the time. I don&#39;t feel like I have a girlfriend anymore, Rachel.",anger
"Wh, Ross, what do you want from me?",anger
"You want me, you want me to quit my job so you feel like you have a girlfriend?",anger
Hi there!,joy
Richard!,joy
It was great to see you the other night.,joy
No! I came here to tell you something else. I came here to tell you that I still love you.,joy
"Could be! Well! Well ... so-so, what kind of music is Numb Nuts - Oh, forget it! I can not!",anger
"Joey, I&#39;m scared to death of it.",fear
"But I really think I can do it, I just need some help.",fear
"Of course I am! And to answer your earlier question, we&#39;re straight gangster rap.",joy
"Look, Rachel told me how much easier you made it all for her. Why can&#39;t you do this for me",anger
And you are my big brother!,joy
I was scared to tell you.,fear
"Joey, I can&#39;t stand the thought of having this baby with you mad at me.",sadness
I want him to have his uncle.,sadness
Will my baby have his uncle Joey?,sadness
Of course he&#39;ll have his uncle Joey!,joy
"We will be fine. I mean, even if we&#39;re not married, this baby will be so loved. Not just from us.",joy
Right! Also from his uncle!,joy
And from you.,joy
I had a really good time tonight.,joy
I&#39;m really glad that Monica asked us.,joy
Hi there!,joy
"Oh! Some guy. Some guy. “Hey Jill, I saw you with a guy last night. Yes he was",joy
Great job team!,joy
Good work.,joy
Well done!,joy
"Joel-burg, you madman!",joy
I love you!,joy
Bing!,joy
"Nice work, couldn&#39;t have done it without you.",joy
"Yes, yes, yes, I do!",sadness
Hi there! How is my buddy Toby today?,joy
Toby!,joy
And!,joy
Hi there! Guess what I got for your wedding!,joy
"Rachel connected me to a tuxedo! But not just any tuxedo, Batman&#39;s tuxedo!",joy
Right! Made specifically for Val Kilmer and worn by him in the hit movie ... the Batman movie he was in.,joy
You can&#39;t wear that! I wear the famous tuxedo! James Bond&#39;s tuxedo!,anger
So - when you wear this you make mine less special.,sadness
Oo! You should let one of us do it!,joy
No! No! It&#39;s - it&#39;s a real thing! Anyone can get ordained on the internet and act like weddings and such!,joy
Yes! A friend of mine did and it&#39;s completely legal!,joy
I call it !!,joy
What?! No! It was my idea!,anger
Does it mean nothing more ?!,anger
"See, I see ... great passion in your future.",joy
"Oh Ross, you are so great. [she rubs her head playfully and stands up]",joy
Oh honey it&#39;s not your fault you know it is you and I love you and I want us to be friends and if I keep living here I won&#39;t see it.,sadness
I love you too.,joy
What? I am just told.,sadness
"I would like to live with you, Ross. this is - this is great! Many Thanks!",joy
"Ross-Ross, you have no idea what that means to me!",joy
"I mean, I mean, I would be homeless.",sadness
You just saved me!,joy
You are my hero!,joy
"Oh, I have to tell Monica what a wonderful brother she has!",joy
Pooh!!,disgust
Damn!,anger
"Uh listen, I just want to thank you for this great opportunity.",joy
That&#39;s great.,joy
"Impressive! That&#39;s ah, that&#39;s pretty nice!",joy
We don&#39;t throw it away! I built the canoe!,anger
With a chick here and a chick there.,joy
"A chick here, a chick there, a chick everywhere - chick.",joy
Oh sure go with the sissy.,disgust
Jason is not a sissy!,anger
It was an amazing night.,joy
It was. It was an amazing night.,joy
Hello Baby.,joy
DANGER,fear
Oh but look! That will leave a stain!,disgust
"I don&#39;t know, but one of the extras sure did! Hey, listen up, Rach. Thank you again for coming to see my scenes!",joy
Oh dear God! I love him!,joy
You&#39;d better act surprised.,fear
My surprise party!,joy
It&#39;s so typical. I am always the last one who knows everything.,anger
Yuh-huh!,anger
Chandler! He is your father; He should be at the wedding.,anger
I don&#39;t even know the man. OK? We are not that close. I haven&#39;t seen him in years.,disgust
I&#39;m going to meet you guys and he&#39;s on a drag show in Vegas.,disgust
No one will stare at the bride when the groom&#39;s father is wearing a backless dress.,disgust
"No, no, Rachel, don&#39;t get it! He can&#39;t see us!",fear
Not after!,anger
Does it still hurt?,sadness
And.,sadness
Excellent.,joy
We tore the couple apart and kept the pieces to ourselves.,joy
Good for you Pheebs!,joy
That sucks! Little did I know I had to stay up all night before going to that stupid sleep clinic! I&#39;m so tired!,anger
Hi there!,joy
"You know, they won&#39;t get married anyway!",anger
They rushed into this thing so fast it&#39;s ridiculous!,disgust
I&#39;m telling you you will dance at my wedding before you dance there.,joy
"What, did you think I&#39;d feel better if I gave myself things that I couldn&#39;t use for another two months ?!",anger
That sucks!,anger
Oh dear God!! Ohh that&#39;s it! I&#39;m leaving! You are just a terrible person!,disgust
Wait-wait-wait-wait-wait-wait-wait-wait-wait !!,fear
When you get very sensitive!,anger
I do not want to lose you.,sadness
Say more things like that.,joy
Done!,joy
"Sophie, come in here!",joy
Monica? You will be very proud of me. I have just arranged to meet two incredibly cute nurses.,joy
"Anyway, they want to take us out Saturday night! What are you saying?",joy
That almost hit me in the face.,anger
Hi there!,joy
Hi there!,joy
"You know, I&#39;m really glad we decided not to sleep together before the wedding.",joy
Oh man me too!,joy
This is me! Come on!,joy
Hi there! I am pleased to meet you!,joy
"Uh-hmm - wait! It gets better. Um, yes, I was in Barcelona.",joy
I love to hike!,joy
Oh that&#39;s great! I hiked along the foot of Mount Tibidaybo,joy
I get it!,joy
No no. We,fear
Hi there! Great advice on that Joey thing!,joy
"Oh it was perfect! I mean, it really felt like he was my boyfriend again.",joy
No thanks mom!,disgust
"Very good, so good.",joy
I really enjoyed it. Very exotic.,joy
"Well, I just checked our messages and Joshua didn&#39;t call.",sadness
No!,anger
Oh!!,anger
I think someone needs a lap dance.,joy
Hi there! How was the sailing?,joy
Wow thanks!,joy
And!,joy
"Well it&#39;s just the reason I&#39;m asking because somehow I wasn&#39;t able - I mean, I really wanted to, but I couldn&#39;t ...",fear
"There huh - hmm, there - there was an incident.",fear
Take what you want please just don&#39;t hurt me,fear
"Yes, on a scale of 1 to 10, with 10 being the dumbest person can see, you are definitely 19 years old.",disgust
"Young! You are a man-child, okay ?! Now change your clothes because everyone is ready and please, oh please keep my underwear!",disgust
"Look, this is my home and I want to be able to come and go whenever I want!",anger
"Okay, I&#39;ll find another place to do the rest of my appointments. I just don&#39;t know what&#39;s the big deal!",anger
Oh that would be great!,joy
It is better! You can&#39;t go to a museum in your underwear!,joy
Ohh O! I bet the UK version is good!,joy
Nobody sees the king!,anger
"Well, I kind of wanted to sell the cookies. The girl who sells the most wins a trip to the space camp and gets to sit in one",sadness
"Anyway, I&#39;ll never meet her anyway.",sadness
Because it is impossible to find her apartment! She lives in a parallel universe for hot girls or something.,sadness
Come on!,joy
"Yeah, come on we can be boys!",joy
You know you just stop being such a fool and take them off and you come with us and see naked girls dancing around !!,anger
I&#39;m so sorry.,sadness
"You gotta help me out here, you gotta set me up, you gotta get me back in the game",fear
And the two times we went out were just awkward.,disgust
"I mean, that&#39;s not a pretty picture in the morning, you know what I mean?",disgust
"That wig was all messed up and the breasts flew all over the bedside table, you know?",disgust
"It&#39;s just not funny, it&#39;s physically impossible!",anger
It&#39;s not funny!,anger
!,anger
I can&#39;t believe you put that on my alumni page!,anger
"So, rocks.",disgust
"I will really miss this apartment. You know, Ben-Ben took his first steps right over there.",sadness
"Ohh Hey, do you remember when I ran into this thing and it blew me a little bit?",joy
"I loved this place! To tell the truth, I wish I didn&#39;t have to move.",joy
"Well, I mean, if Emily gave me a choice",sadness
Hey guys! Look what I found in the Giiiiiiift shop. Stand up! Stand up! Stand up!,joy
"The morning is here! Sunshine is here! The sky is clear, the morning is here! The morning is here!",joy
Oh come on The morning is here! The morning is here! The morning is here! Sunshine is here!,joy
Are you kidding? I love this guy! The morning is here! The morning is here -,joy
I&#39;m so sorry. I&#39;m so sorry.,sadness
Shut up! This place is a hole!,anger
"Great, let&#39;s start. How is the pressure?",joy
Kind! Wow Phoebe you are good!,joy
Oh. Oh yes! Ohhhhh! Ohh! Oh yes!,joy
Oh god Phoebe !! Oh that&#39;s it! That&#39;s it! Exactly there! Oh! Ooooh-oooh-ooooh,joy
Hi there!,joy
"By the way, he fired me tonight after reading my review.",sadness
"Oh, edel.",disgust
Hello Joey! What are you doing here?,joy
"Huh, Rach, I have to say it&#39;s going to cost a lot of money if I go out with a guy.",disgust
Sure no problem. Ooh - hey donuts!,joy
And!,joy
"Sorry, Pheebs.",sadness
"Yes. Well, um ...",sadness
Yes I&#39;m fine.,sadness
"No! Really, no, please, please, that&#39;s okay.",sadness
"Oh yeah, I&#39;m not, I&#39;m not hungry.",sadness
"Come on, pick up, pick up!",fear
I mean that - that looks so great.,joy
"Wow, that feels so good to come off my chest!",joy
"Ugh, Monica, I know about you and Chandler.",disgust
All right everyone! Everyone knows what I just convinced Paul to give us a test next week!,joy
Come on! Tests make us all better learners! Oh yeah! We should have essay questions !!,joy
Hello Julie!,joy
Oh shoot! I work monday night.,sadness
"Um, this filling is amazing. Do you think we should bring them some?",joy
Yes for you!,joy
"Oh, uh ..",fear
I want her to think I could be in a restaurant. You know?,fear
Oh dear God! Go away! Stop looking here!,anger
"Great, now he&#39;s waving back.",disgust
"Man, we have to do something about this guy.",disgust
This morning I caught him looking into our apartment.,disgust
I feel like I can&#39;t do anything!,anger
"Are you growing up I&#39;m not talking about sexy things, but when I&#39;m cooking naked.",disgust
You think you know me so well,anger
I can not,sadness
I can not,sadness
"She left me, I mean, I totally trusted her and then one day it was &#39;Okay bye Pheebs&#39; gone.",sadness
"You know what the saddest part is, when we played together, that was the most fun I&#39;ve ever had, like all my life.",sadness
"Is it just you and Rachel, just the two of you? This is a date. You go on a date.",joy
"Well, you might want to rethink dirty underwear.",disgust
"Which rule? There&#39;s no rule, if any, you owe me a table!",anger
Let&#39;s just say the impressions you made in the butter left little room for the imagination.,disgust
You would tell me if you undressed properly,fear
Absolutely. I love the way you kiss,joy
Do you think you can knock my daughter down and then not marry her ?! I will kill you!!,anger
You know this is actually not a good time for me.,sadness
OK! So let&#39;s just stay married.,joy
Yes exactly!,joy
And I&#39;ll get everyone to call me Mrs. Geller!,joy
"Okay, now I&#39;m scared because I don&#39;t think you&#39;re kidding.",fear
"I mean, you fill out a form every now and then and instead of ticking the box that says Woman, check the box that says Woman!",joy
Ohh okay i&#39;m sorry,sadness
"Barry, I&#39;m sorry ...",sadness
I am so sorry...,sadness
"I know you probably think it&#39;s about what I said the other day about making love with your socks on, but it&#39;s not ... it&#39;s not, it&#39;s about me and me ju- hi, machine cut me off again ... anyway ...",sadness
"Oh, don&#39;t take it where you took the stereo because they&#39;ve had this thing for over a week.",disgust
You are disturbing my oboe practice.,anger
I could play the oboe!,anger
Oh! This is so cute!,joy
"Okay, okay, look, I know I&#39;m Mr. Inappropriate today, but it&#39;s just so hard, I mean, I see you walking around and I just want to touch and hold you, come on, nobody&#39;s around, kiss me easy.",joy
"All right, that&#39;s it !! Get off her!",anger
What&#39;s happening?! That&#39;s what&#39;s going on !!,anger
I&#39;ve been in your store for twenty minutes trying to get a tie!,anger
What do I have to do to get a service ?!,anger
Hey it&#39;s Mona! From the wedding.,joy
Oh hello!,joy
Hi there!,joy
"Look, I feel really bad about how I freaked you out before so I called dad and asked him to meet you here so you can tell him.",sadness
Walk!,anger
"I like to play the fool sometimes, but I&#39;m a little bit more than a pretty blonde girl with an ass that doesn&#39;t stop.",anger
Oh Phoebe!,joy
"Hey, thanks for those tickets, Chandler.",joy
"Well, that was a really important experience for me and I wanted to share it with you.",joy
Oh you are so wonderful,joy
No!,disgust
Chandler is awesome !!,joy
"Oh god, we just clicked!",joy
Do you know how people just click?,joy
Like he came over to pick me up and I opened the door and it was just like clicking!,joy
"Oh, and he has such a good heart! Doesn&#39;t he have a good heart?",joy
"Oh I know and he&#39;s so cute! Look, he said he was going to call, so put him right through.",joy
Is not that great?!,joy
Hi sweety!,joy
I have bad news.,sadness
Was?,fear
Well we will miss you here.,sadness
Yes me too.,sadness
"You know you probably didn&#39;t know, but I had a crush on you in high school.",fear
Oh.,sadness
"Look, you think - and try not to let my intense vulnerability become a factor here - but do you think it would be all right if I asked you?",fear
Okay ... okay maybe I will ...,joy
You&#39;re unbelievable.,joy
"Oh, you&#39;re the best friend anyone has ever had.",joy
"Oh-no-no-no, that&#39;s you!",joy
"You do this, you give me the great advice and hey listen, I&#39;ve been thinking about what you said yesterday to focus on one woman, I&#39;ll do that.",joy
I think someone has a little crush on Casey.,joy
That all parts of my life fit together perfectly!,joy
I&#39;m such an idiot.,sadness
Hmmm ... that&#39;s so nice.,joy
It&#39;s brilliant!,joy
"Goodbye Mike, see you at the wedding boy!",joy
You are welcome! Glad I could help.,joy
"Okay, you have 19 questions left. Use them wisely. Come on joey! You can&#39;t win if you don&#39;t ask",joy
You promised me a fun road trip!,joy
We were out for six hours and you slept five and a half!,anger
To sing!!,anger
Tomorrow!,joy
Everything was delicious!,joy
Many Thanks!,joy
It was. The duck especially was excellent.,joy
Many Thanks! You did not say anything ...,joy
Many Thanks. Thank you very much!,joy
"I have - and I remember that part vividly - a sip of pumpkin pie, and this is when my parents tell me they&#39;re getting a divorce.",sadness
Yes. It&#39;s very difficult to appreciate Thanksgiving dinner when you&#39;ve seen it the other way around.,sadness
"Ooh, look-look-look-look-look! I got Monica naked!",joy
Oh no. Could I bring someone some coffee or ... poison? No? Just for me? OK.,fear
I knew it! I knew ahh ...,joy
Hi there!,joy
Hi there!,joy
Look how nervous he gets! We haven&#39;t slept together in years!,joy
This is funny. Does it hurt? Does Work Hurt?,fear
I just saw Danny get on the subway with a girl and he had his arm around her.,sadness
"Oh honey, I&#39;m sorry",sadness
"Well you should be, it&#39;s all your fault! You interfered in our relationship !!",anger
You weren&#39;t in a relationship !!,anger
"No, but I did my thing and everything went according to plan!",anger
"Oh god, stop the plan!",anger
Who cares?!,anger
That does not mean anything!,anger
Ta-da.,joy
"So wow, that&#39;s pretty profitable, isn&#39;t it?",joy
You always said I would do it.,joy
"Um, the killer. Ole, ha ha ha.",joy
"Hi Joey, it&#39;s Jane Rogers, can&#39;t wait to party tonight.",joy
Hi there!,joy
Hi there!,joy
"Yeah, it&#39;s a real shame you can&#39;t make it to this one-woman show tonight.",sadness
"&quot;Hello Joey, it&#39;s Jane Rogers who can&#39;t wait for your party tonight.&quot;",joy
Stupid Jane Rogers !!,anger
I didn&#39;t have to tell you that !! I am dumber than Jane Rogers !!,anger
F-hah .... flennin ....,fear
I love to wake up with you.,joy
"I like to wake up with you too. Oh! It&#39;s such a beautiful morning. Oh, I can stay here all day.",joy
That would be great!,joy
We could have breakfast in bed,joy
"Well that was depressing, I think I just bought a soft pretzel from one of the kids at",sadness
Hi there!,joy
Many Thanks! Likewise.,joy
No you do - you know what? You won&#39;t make me,anger
"Oh sure, because you always have to be right.",anger
"I don&#39;t always have to be - okay, okay.",anger
I tell you something is wrong! My brother doesn&#39;t stay out all night.,fear
Oh dear God! Where the hell have you been? !!,anger
"Look, I don&#39;t have to answer your questions! OK? I&#39;m a big boy, I can do what I want!",anger
He&#39;s joined !! Tell us about her!,joy
"Yeah, we look great together.",joy
Impressive! Imagine what our children would look like!,joy
I marry her.,joy
He&#39;s got the best Porsche under there!,joy
Well the old lady died.,sadness
And!,joy
Ewww. Yes. Umm. I think I will stay here.,disgust
Is not that great?,joy
Oh yes!,joy
OK great.,joy
You madman.,disgust
Many Thanks.,joy
"Oh-oh, you are lying.",disgust
"Yeah, missy, you&#39;d better be glad the list is laminated.",anger
"Oh-oh-oh, yes! That&#39;s right, you take good care of these babies!",joy
"It&#39;s me, Joey!",joy
Left! Many Thanks.,joy
"Yes, Absolut!",joy
"Rachel, we&#39;re sorry we pushed these guys on you.",sadness
Oh that&#39;s all right!,joy
You know i had a really good time,joy
You know the charity was a huge success and they created a lot of money and awareness.,joy
No! He blew us away!,anger
I can not believe it. May I tell you something? I&#39;m a little mad at him now.,anger
May I tell you something? Me too.,anger
"You know what? He didn&#39;t want to talk to us about being angry, maybe we don&#39;t talk to him",anger
Ooooh! Freeze him.,joy
Right!,joy
I like this!,joy
Oh good.,joy
"Look, I ... Look, I&#39;m having a great time with you and I just don&#39;t want us to go too fast or put too much pressure on ourselves.",fear
"I&#39;m sorry, I just don&#39;t think we should go away together anymore.",sadness
It’s too early.,fear
You are so adorable.,joy
The! Let&#39;s talk about it.,joy
Hi there!,joy
I did it! I took care of the babies all by myself!,joy
Hi there!,joy
Hey Ross! The baby is kicking!,joy
Last night! I just felt it and went into Joey&#39;s room and he slept,joy
"Oh, these are firefighters.",joy
No no no. I don&#39;t have a son named Jordie. We all agreed my son&#39;s name is Jamie.,anger
"All right, that&#39;s it. I want you both out.",anger
He started it!,anger
You did!,anger
I do not care. I&#39;m trying to get a person out of my body here and you&#39;re not making it any easier.,anger
Now go!,anger
out,anger
"Eh, he said, thank you very much, he thinks you are very pretty tonight, your hair is golden as the sun.",joy
I&#39;m also thinking about opening my own restaurant.,joy
"Yes, but Misha is so interested in you that Sergei and I couldn&#39;t say two words to each other.",anger
What should I do? Do you just sit quietly while the three of you talk?,anger
so we finally get to the top of the mountain and Airhead here forgets the camera!,disgust
"Oh yeah. First of all, chasing the churo guy isn&#39;t jogging.",disgust
Oh this is so good you have to try,joy
Yes. I&#39;ll be wearing these on our date tonight.,joy
"Yes, wow, sorry Rach.",sadness
Why do you have a picture of Paulette in your backpack ?!,anger
Cut! Wonderful!,joy
Great scene yeah,joy
Oh you are great! And in this last speech? You got me soaked,joy
Many Thanks.,joy
"So Chandler, your parents must have been thrilled when you told them you were engaged.",joy
I remember when we got engaged.,joy
Don&#39;t you know how that happened ?! Your dog thought my diaphragm was a chew toy!,disgust
At least this isn&#39;t the first time you hear it at your fifth grade Halloween party.,disgust
"Anyway, we&#39;re very excited about our wedding plans, and I think we&#39;ll be making a big withdrawal from the Monica Wedding Fund pretty soon.",joy
You tell her Jack I can&#39;t do it.,fear
Did this!,joy
"No, it was painful. Oh my god, you should call it pain-zine, now with some wax.",disgust
You know the song! Sing along!,joy
"David the scientist, David I was in love with, David who went to Russia and broke my heart, David!",sadness
Good yes. You look good too. Did you get a haircut,joy
Yes! Santa Claus is coming!,joy
"Hey, I&#39;m really, really sorry about what happened in the cafeteria today.",sadness
I eat alone in the alley because everyone hates me.,sadness
"You know, you wear a white coat, I wear a blue blazer. If that means we can&#39;t be friends at work, so be it.",sadness
"And it came out, &quot;Squatternut Buash?&quot;",joy
"Um, I really don&#39;t want to tell this story.",sadness
"You know, for me anyway.",sadness
And of course the Indians.,sadness
"Look, you of all people don&#39;t want me to tell this story!",anger
Hi there! Phoebe.,joy
"I wanted to apologize if I - you know, seemed a little nervous about my shower yesterday. You know it&#39;s just the hormones, you know",sadness
They - they - can smell fear.,fear
Bing! Ho! And the Bing-ette!,joy
"Hi there. Good news, the divorce is final. I signed the papers this morning",joy
"I didn&#39;t know you and Carol were getting a divorce, I&#39;m sorry.",sadness
"We are sorry? Eventually I chewed my leg out of this bear trap. Hey, congratulations to you guys!",joy
"Divorce, marriage, we have a lot to celebrate.",joy
"It will be tomorrow evening, I should be out of court at six.",joy
They keep throwing these sexual harassment cases at me and I keep pushing them out of the park!,joy
"Okay, see you tomorrow!",joy
I can&#39;t spend another evening with this man.,disgust
Do you remember how he acted at our wedding?,disgust
That&#39;s because he wasn&#39;t invited because he acted like that at our engagement party.,disgust
"Oh yeah. Boy, urine cuts",disgust
"Me too! There&#39;s a game on Tuesday, do you want to go?",joy
"Yes, that would be great! Let me make sure I don&#39;t do anything on Tuesday.",joy
Pooh. Horse!,disgust
Oh toll!,joy
"You are a genius, Ross.",joy
"So ah, they all ran away, it was pretty hard to see them go you know",sadness
Oh wow you look great! Nice that you did it.,joy
"Yes, yes, you go to talk to your friend. You tell him: &quot;Nice try.&quot;",disgust
No i can&#39;t talk to you I don&#39;t have a fancy advertisement in the yellow pages!,anger
"Look, Pheebs, I just want to apologize for saying your method was stupid and - and maybe ask you to be my teacher again.",sadness
Uh-huh!,joy
Impressive! Cool!,joy
"Yes. Yes, thank you for letting me use your phone ... and saving my life.",joy
I am really glad we came. You&#39;re so pretty. I love you.,joy
I don&#39;t have ten minutes !!,anger
Hey Ross !!! I told you I don&#39;t!,anger
"Don&#39;t yell at me, okay, this is the best I&#39;ve seen you all week.",sadness
I am the holiday armadillo! I&#39;m Santa&#39;s friend and he sent me here to wish you a Merry Christmas!,joy
Yes! Yes! Please just give it to me!,joy
Stop making sweets!,anger
"Oh, you really wanna talk about people liking you, don&#39;t you, funny man?",anger
We were on the platform and ready to dance the world into the new millennium and the guy yelled &#39;CUT!&#39;,anger
"Yes. But of course we had to update it a bit. Hey, by the way, great thinking about catching me!",joy
Hi there!,joy
"All right, look, if you insist on wearing this in public, you&#39;ll be spending the rest of the afternoon all by yourself.",disgust
"OK wait. Okay, that&#39;s it, okay, I&#39;m out of here. I will not be ashamed anymore!",anger
"You know, I don&#39;t read as many important books as you do, and I don&#39;t write trick poems that relate to one thing but actually to something else.",anger
You do not even know me ...,anger
The empty vase is not about you. My baby you make me so sad that you think that,sadness
I&#39;m sorry my friend Phoebe ...,sadness
... and live forever as a machine!,joy
"That&#39;s so Janine, you-you-know what, do you know we&#39;re doing it right now?",joy
Ba dum bumb cheshhh!,joy
So now I have to go to make him think I&#39;m perfectly fine to see him!,joy
"Ok, this will be great!",joy
"Oh, isn&#39;t that nice? You three try on slutty lingerie together.",disgust
We won&#39;t do that!,disgust
Why would you ruin it who was so hurt?,disgust
"Julie hi! Chandler Bing, I think you remember me.",joy
Ni-chou chi-ma!,joy
"What did he do, what did he say?",fear
Oh toll!,joy
We couldn&#39;t keep our eyes off each other all night and then every now and then he would lean over my hair and touch the back of my neck.,joy
"All I could think about was knowing, &quot;Will he kiss me? Will he kiss me?&quot;",joy
"I am a lady Monica, I kiss and I do not tell. But this hickey speaks for itself.",joy
I just like it so much that I feel like I&#39;ve had 10 drinks today and only six.,joy
"Wow, I&#39;ll never have that feeling again, will I?",sadness
You sound like a guy.,disgust
"No, one guy would say, &quot;I&#39;ll never sleep with anyone else.&quot;",disgust
"I mean, I ... I&#39;ll never have a first kiss again.",sadness
